date,service,region,cost_usd,usage_hours,resource_id,status
2024-01-01,EC2,us-east-1,120.50,720,i-0abc001,Active
2024-01-01,S3,us-east-1,15.30,720,s3-bucket-001,Active
2024-01-01,RDS,us-west-2,200.00,720,db-0xyz001,Active
2024-01-01,Lambda,ap-south-1,5.75,300,fn-lambda001,Active
2024-01-01,EC2,ap-south-1,95.00,720,i-0abc002,Idle
2024-01-02,EC2,us-east-1,118.00,710,i-0abc001,Active
2024-01-02,S3,us-west-2,22.10,720,s3-bucket-002,Active
2024-01-02,RDS,us-east-1,198.50,720,db-0xyz002,Active
2024-01-02,CloudFront,us-east-1,30.00,720,cf-dist001,Active
2024-01-02,EC2,eu-west-1,140.00,720,i-0abc003,Idle
2024-01-03,EC2,us-east-1,122.75,720,i-0abc001,Active
2024-01-03,S3,ap-south-1,10.50,720,s3-bucket-003,Active
2024-01-03,Lambda,us-east-1,8.90,400,fn-lambda002,Active
2024-01-03,RDS,eu-west-1,210.00,720,db-0xyz003,Idle
2024-01-03,EC2,us-west-2,105.00,600,i-0abc004,Active
2024-01-04,EC2,ap-south-1,90.00,720,i-0abc002,Idle
2024-01-04,S3,us-east-1,18.75,720,s3-bucket-001,Active
2024-01-04,RDS,us-west-2,205.00,720,db-0xyz001,Active
2024-01-04,CloudFront,eu-west-1,28.50,720,cf-dist002,Active
2024-01-04,Lambda,ap-south-1,6.20,350,fn-lambda001,Active
2024-01-05,EC2,us-east-1,125.00,720,i-0abc001,Active
2024-01-05,S3,eu-west-1,12.40,720,s3-bucket-004,Active
2024-01-05,RDS,ap-south-1,195.00,720,db-0xyz004,Active
2024-01-05,EC2,eu-west-1,138.00,720,i-0abc003,Idle
2024-01-05,Lambda,us-west-2,7.50,380,fn-lambda003,Active
2024-01-06,EC2,us-east-1,130.00,720,i-0abc001,Active
2024-01-06,RDS,us-east-1,215.00,720,db-0xyz002,Active
2024-01-06,S3,us-west-2,19.80,720,s3-bucket-002,Active
2024-01-06,EC2,ap-south-1,92.00,720,i-0abc002,Idle
2024-01-06,CloudFront,us-east-1,32.00,720,cf-dist001,Active
2024-01-06,Lambda,eu-west-1,9.10,420,fn-lambda004,Active
2024-01-06,EC2,us-west-2,110.00,700,i-0abc004,Active
2024-01-07,EC2,us-east-1,127.50,720,i-0abc001,Active
2024-01-07,RDS,eu-west-1,220.00,720,db-0xyz003,Idle
2024-01-07,S3,ap-south-1,11.20,720,s3-bucket-003,Active
2024-01-07,EC2,eu-west-1,142.00,720,i-0abc003,Idle
2024-01-07,Lambda,us-east-1,7.80,360,fn-lambda002,Active
2024-01-07,CloudFront,ap-south-1,25.00,720,cf-dist003,Active
2024-01-07,RDS,us-west-2,202.00,720,db-0xyz001,Active
2024-01-08,EC2,us-east-1,119.00,720,i-0abc001,Active
2024-01-08,S3,us-east-1,17.50,720,s3-bucket-001,Active
2024-01-08,RDS,ap-south-1,198.00,720,db-0xyz004,Active
2024-01-08,EC2,ap-south-1,88.00,720,i-0abc002,Idle
2024-01-08,Lambda,us-west-2,6.90,330,fn-lambda003,Active
2024-01-08,CloudFront,eu-west-1,29.00,720,cf-dist002,Active
2024-01-08,EC2,us-west-2,108.00,680,i-0abc004,Active
2024-01-09,EC2,us-east-1,124.00,720,i-0abc001,Active
2024-01-09,RDS,us-east-1,210.00,720,db-0xyz002,Active
2024-01-09,S3,eu-west-1,13.60,720,s3-bucket-004,Active
2024-01-09,EC2,eu-west-1,136.00,720,i-0abc003,Idle
2024-01-09,Lambda,ap-south-1,8.40,410,fn-lambda001,Active
2024-01-09,CloudFront,us-east-1,31.00,720,cf-dist001,Active
2024-01-10,EC2,us-east-1,121.00,720,i-0abc001,Active
2024-01-10,RDS,us-west-2,207.00,720,db-0xyz001,Active
2024-01-10,S3,ap-south-1,10.90,720,s3-bucket-003,Active
2024-01-10,EC2,ap-south-1,93.00,720,i-0abc002,Idle
2024-01-10,Lambda,us-east-1,7.20,345,fn-lambda002,Active
2024-01-10,CloudFront,eu-west-1,27.50,720,cf-dist002,Active
2024-01-10,EC2,us-west-2,112.00,720,i-0abc004,Active
2024-01-10,RDS,eu-west-1,218.00,720,db-0xyz003,Idle
